Year,Location,Download,Upload,UMR,persentase pengguna internet,Jumlah penduduk
2021,Aceh,20.59,5.31,"3.160.000,00",75.54,5.334.000
2021,Bali,24.71,16.98,"2.494.000,00",87.8,4.363.000
2021,Bangka Belitung,19.17,7.02,"3.230.023,00",82.89,1.473.000
2021,Banten,21.3,8.08,"4.230.792,65",87.45,12.061.000
2021,Bengkulu,17.74,4.77,"2.215.000,00",78.03,2.033.000
2021,Jawa Tengah,17.55,6.45,"1.813.011,00",82.88,36.743.000
2021,Kalimantan Tengah,20.31,6.64,2.903.144.00,80.27,2.702.000
2021,Sulawesi Tengah,16.76,4.64,"2.303.711,00",76.51,3.022.000
2021,Jawa Timur,17.05,6.53,"4.300.479,00",79.66,40.879.000
2021,Kalimantan Timur,20.14,6.43,"2.981.378,00",89.67,3.808.000
2021,Nusa Tenggara Timur,19.43,5.82,"1.950.000,00",68.45,5.388.000
2021,Gorontalo,17.74,5.35,"2.586.900,00",80.89,1.181.000
2021,Jakarta,24.12,13.37,"4.416.186,00",95.44,10.610.000
2021,Jambi,18.59,5.87,"2.630.162,00",80.91,3.585.000
2021,Lampung,16.96,6.08,"2.400.000,00",83.49,9.082.000
2021,Maluku,18.84,4.23,"2.604.961,00",76.89,1.863.000
2021,Kalimantan Utara,19.7,6.46,"3.000.803,00",88.02,714.000
2021,Maluku Utara,19.63,5.06,"2.721.530,00",69.43,1.299.000
2021,Sulawesi Utara,19.22,5.8,"3.310.721,00",81.57,2.639.000
2021,Papua,19.55,6.21,"3.516.700,00",35.26,4.355.000
2021,Riau,17.34,6.29,"2.888.563,00",86.45,6.494.000
2021,Kepulauan Riau,18.71,8.86,"3.005.383,00",93.79,2.118.000
2021,Sulawesi Tenggara,18.59,4.94,"2.552.014,00",81.83,2.659.000
2021,Kalimantan Selatan,20.6,6.66,"2.903.144,00",83.11,4.123.000
2021,Sumatera Selatan,19.69,8.24,"3.043.111,00",80.95,8.551.000
2021,DIY Yogyakarta,17.89,7.5,"1.765.608,00",86.88,3.713.000
2021,Jawa Barat,20.69,7.91,"1.810.351,00",84.26,48.782.000
2021,Kalimantan Barat,19.97,6.1,"2.399.698,00",79.23,5.471.000
2021,Nusa Tenggara Barat,18.36,5.6,"2.183.883,00",73.61,5.390.000
2021,Papua Barat,18.36,5.6,"3.134.600,00",74.08,1.157.000
2021,Sulawesi Barat,18.81,4.32,"2.571.328,00",75.32,1.437.000
2021,Sumatera Barat,21.54,5.55,"2.484.041,00",82.29,5.580.000
2021,Sulawesi Selatan,19.86,6.02,"3.165.876,00",82.36,9.140.000
2021,Sumatera Utara,20.42,7.36,"2.499.422,00",81.1,14.936.000
