Year,Location,Download,Upload,UMR,PersentasePenggunaInternet,JumlahPenduduk
2022,Aceh,22.56,9.42,3116460,80.83,5380000
2022,Bali,29.46,24.54,2516971,93.95,4290000
2022,Bangka Belitung,21.76,13.58,3264884,88.69,1470000
2022,Banten,26.34,11.65,2501203,93.57,12150000
2022,Bengkulu,19.25,9.08,2238094,83.49,2050000
2022,Jawa Tengah,17.98,9.5,1812935,88.68,37490000
2022,Kalimantan Tengah,22.64,10.15,2922516,85.89,2670000
2022,Sulawesi Tengah,19.32,9.58,2390739,81.87,3070000
2022,Jawa Timur,18.83,8.77,1891567,85.24,41140000
2022,Kalimantan Timur,22.18,10.23,3014497,95.95,3890000
2022,Nusa Tenggara Timur,22.24,9.83,1975000,73.24,5510000
2022,Gorontalo,19.14,8.97,2800580,86.55,1200000
2022,Jakarta,28.86,17.55,4641854,97.26,11250000
2022,Jambi,19.8,9.79,2698940,86.57,3640000
2022,Lampung,17.61,9.5,2440486,89.33,8900000
2022,Maluku,20.03,9.53,2619312,82.27,1890000
2022,Kalimantan Utara,21.51,9.7,3016738,94.18,710000
2022,Maluku Utara,25.01,11.07,2862231,74.29,1340000
2022,Sulawesi Utara,15.72,8.96,3310723,87.28,2660000
2022,Papua,22.2,9.76,3561932,37.73,4360000
2022,Riau,19.93,9.62,2938564,92.50,6650000
2022,Kepulauan Riau,19.46,10.87,3050172,96.22,2100000
2022,Sulawesi Tenggara,18.57,9.03,2576016,87.56,2690000
2022,Kalimantan Selatan,23.72,10.4,2906473,88.93,4140000
2022,Sumatera Selatan,23.98,10.99,3144446,86.62,8650000
2022,DIY Yogyakarta,19.47,9.8,1840915,92.96,3680000
2022,Jawa Barat,25.08,11.39,1841487,90.16,48640000
2022,Kalimantan Barat,22.71,10.21,2434328,84.78,5480000
2022,Nusa Tenggara Barat,18.4,8.76,2207212,78.76,5470000
2022,Papua Barat,20.14,9.69,3200000,79.27,1160000
2022,Sulawesi Barat,18.03,8.49,2678863,80.59,1450000
2022,Sumatera Barat,21.84,8.87,2512539,88.05,5620000
2022,Sulawesi Selatan,21.38,10.41,3165876,88.13,9260000
2022,Sumatera Utara,16.05,9.66,2522609,86.78,15310000
