Year;Location;Download;Upload;UMR;PersentasePenggunaInternet;JumlahPenduduk
2023;Aceh;26.48;9.93;3413666;53.24;5407855
2023;Bali;37.35;32.11;2713672;73.74;4395383
2023;Bangka Belitung;21.57;15.83;3498479;82.66;1517391
2023;Banten;32.90;17.18;2980000;74.63;12972341
2023;Bengkulu;20.08;10.53;2494915;53.24;2009785
2023;Jawa Tengah;20.03;12.92;1958169;76.43;37033824
2023;Kalimantan Tengah;23.32;11.68;3181013;68.84;2741100
2023;Sulawesi Tengah;24.30;11.23;2599546;78.35;3021879
2023;Jawa Timur;23.08;14.45;2040244;81.26;33530411
2023;Kalimantan Timur;27.01;13.35;3201396;83.45;3814435
2023;Nusa Tenggara Timur;27.52;14.41;2123994;42.34;5437333
2023;Gorontalo;23.26;10.02;2989350;70.58;1192737
2023;Jakarta;41.48;31.06;4900798;86.08;11274315
2023;Jambi;24.21;15.72;2943033;79.06;3672449
2023;Lampung;21.23;14.50;2633284;73.02;9083651
2023;Maluku;25.71;11.85;2976720;68.03;1834325
2023;Kalimantan Utara;28.99;11.09;3201396;74.12;773831
2023;Maluku Utara;26.97;12.84;2976720;64.09;815392
2023;Sulawesi Utara;24.42;9.72;3485000;77.13;2653305
2023;Papua;26.72;12.32;3864696;69.11;4418600
2023;Riau;21.94;11.94;3191662;74.01;5982409
2023;Kepulauan Riau;25.54;16.48;3279194;82.33;2320741
2023;Sulawesi Tenggara;22.40;10.93;2758984;69.02;2811374
2023;Kalimantan Selatan;29.09;13.32;3149977;75.12;4203856
2023;Sumatera Selatan;27.84;16.24;3404177;74.21;8657008
2023;DIY Yogyakarta;22.94;14.53;2324775;80.11;3025344
2023;Jawa Barat;29.56;16.64;1986670;82.73;49405847
2023;Kalimantan Barat;27.7;11.22;2608601;64.39;5528040
2023;Nusa Tenggara Barat;21.28;10.73;2371407;66.28;5320092
2023;Papua Barat;24.33;11.17;3282000;58.13;1183309
2023;Sulawesi Barat;19.02;10.27;2871795;68.24;1348404
2023;Sumatera Barat;25.96;10.74;2742476;73.29;5275834
2023;Sulawesi Selatan;27.26;12.25;3385145;71.10;9223480
2023;Sumatera Utara;26.04;14.57;2710493;70.24;14873319
